# time internal_energy  ermsd_energy total_energy wall_energy
50000 -10950.913820 274.453219 49718987.060951 0.000000
100000 -10363.379827 271.344656 49403637.366016 0.000000
150000 -10274.953693 269.922984 49270668.599468 0.000000
200000 -10014.338491 269.016934 49191071.340465 0.000000
